"ISIL","機関名Institution name in Japanese","Institution name in English","機関名ヨミInstitution name in Japanese (kana form)","Postal code","都道府県Prefecture","City/Ward/Town/Village","Address (Street Level)","Telephone number","代表FAX番号Fax number","URL","旧ISIL Former ISIL","登録日","更新日"
"JP-1003294","筑波大学附属図書館大塚図書館","University of Tsukuba Library Otsuka Library","ツクバダイガクフゾクトショカンオオツカトショカン","112-0012","東京都","文京区","大塚3-29-1","03-3942-6818","03-3942-6821","http://www.tulips.tsukuba.ac.jp/",,2011/10/1 0:00:00,2013/1/10 0:00:00
"JP-1003295","筑波技術大学聴覚障害系図書館","Tsukuba University Technology Library for People with Hearing Disability","ツクバギジュツダイガクチョウカクショウガイケイトショカン","305-8520","茨城県","つくば市","天久保4丁目3-15","029-858-9330","029-858-9419","https://library.k.tsukuba-tech.ac.jp/",,2011/10/1 0:00:00,2021/7/15 0:00:00
"JP-1003296","筑波技術大学視覚障害系図書館","Tsukuba University of Technology Library for People with Visual Disability","ツクバギジュツダイガクシカクショウガイケイトショカン","305-8521","茨城県","つくば市","春日4丁目12-7","029-858-9510","029-858-9520","https://library.k.tsukuba-tech.ac.jp/",,2011/10/1 0:00:00,2021/7/15 0:00:00
"JP-1003297","宇都宮大学附属図書館","Utsunomiya University Library","ウツノミヤダイガクフゾクトショカン","321-8505","栃木県","宇都宮市","峰町350","028-649-5130","028-649-5138","https://opac.lib.utsunomiya-u.ac.jp",,2011/10/1 0:00:00,2022/12/7 0:00:00
"JP-1003298","宇都宮大学附属図書館陽東分館","Yoto Branch, Utsunomiya University Library","","321-8585","栃木県","宇都宮市","陽東7丁目1-2","028-689-6312","028-689-6313","https://opac.lib.utsunomiya-u.ac.jp",,2011/10/1 0:00:00,2022/12/7 0:00:00
"JP-1003299","群馬大学総合情報メディアセンター図書館","Library and Information Technology Center, Gunma University","グンマダイガクソウゴウジョウホウメディアセンタートショカン","371-8510","群馬県","前橋市","荒牧町4丁目2","027-220-7180","027-220-7184","http://www.media.gunma-u.ac.jp/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003300","群馬大学総合情報メディアセンター図書館医学分館","GUMMADAIGAKUSOGOJOHOMEDEIASENTA Library IGAKUBUNKAN","グンマダイガクソウゴウジョウホウメディアセンタートショカンイガクブンカン","371-8513","群馬県","前橋市","昭和町3丁目39-22","027-220-7882","027-220-7888","http://www.media.gunma-u.ac.jp/guide/s/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003301","群馬大学総合情報メディアセンター理工学図書館","GUMMADAIGAKUSOGOJOHOMEDEIASENTARIKOGAKU Library","グンマダイガクソウゴウジョウホウメディアセンターリコウガクトショカン","376-8516","群馬県","桐生市","天神町1丁目5-1","0277-30-1079","0277-30-1082","http://www.media.gunma-u.ac.jp/guide/k/",,2011/10/1 0:00:00,2015/6/8 0:00:00
"JP-1003302","埼玉大学図書館","Saitama University Library","サイタマダイガクトショカン","338-8570","埼玉県","さいたま市桜区","下大久保255","048-858-3668","048-858-3706","http://home.lib.saitama-u.ac.jp",,2011/10/1 0:00:00,2013/10/2 0:00:00
"JP-1003303","千葉大学附属図書館","Chiba University Library","チバダイガクフゾクトショカン","263-8522","千葉県","千葉市稲毛区","弥生町1-33","043-290-2258","043-290-2265","http://www.ll.chiba-u.jp/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003304","千葉大学附属図書館亥鼻分館","Library of health sciences, Chiba University","チバダイガクフゾクトショカンイノハナブンカン","260-8671","千葉県","千葉市中央区","亥鼻1丁目8-1","043-226-2211","043-226-2214","http://www.ll.chiba-u.jp",,2011/10/1 0:00:00,2012/4/5 0:00:00
"JP-1003305","千葉大学附属図書館松戸分館","Library of Horticultural Sciences, Chiba University","チバダイガクフゾクトショカンマツドブンカン","271-8510","千葉県","松戸市","松戸648","047-308-8717","047-308-8721","http://www.ll.chiba-u.jp",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003306","東京大学総合図書館","General Library, The University of Tokyo","トウキョウダイガクソウゴウトショカン","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-2646","03-5841-2611","http://www.lib.u-tokyo.ac.jp/sogoto",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003307","東京大学法学部研究室図書室","Faculty of Law Library, University of Tokyo","トウキョウダイガクホウガクブケンキュウシツトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-3137","03-5841-3200","http://www.lib.j.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003308","東京大学大学院法学政治学研究科附属近代日本法政史料センター明治新聞雑誌文庫","Center for Modern Japanese Legal and Political Documents (Meiji Shinbun Zasshi Bunko) Graduate Schools for Law and Politics / Faculty of Law　/ University of Tokyo","トウキョウダイガクダイガクインホウガクセイジガクケンキュウカフゾクキンダイニホンホウセイシリョウセンターメイジシンブンザッシブンコ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-3171","03-5841-0212","http://www.meiji.j.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003309","東京大学医学図書館","Medical Library, the University of Tokyo","トウキョウダイガクイガクトショカン","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-3661","03-5841-3380","http://www.lib.m.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003310","東京大学工学･情報理工学図書館","Libraries for Engineering and Information Science & Technology, the University of Tokyo","トウキョウダイガクコウガク･ジョウホウリコウガクトショカン","113-8656","東京都","文京区","本郷7丁目3-1","03-5841-6016","03-5841-6004","http://park.itc.u-tokyo.ac.jp/cllib/index.html",,2011/10/1 0:00:00,2012/11/19 0:00:00
"JP-1003311","東京大学大学院人文社会系研究科･文学部図書室","The University of Tokyo, Graduate school of Humanities and Sociology, Faculty of Letters, Library","トウキョウダイガクダイガクインジンブンシャカイケイケンキュウカ･ブンガクブトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-3718","03-5841-3820","http://www.l.u-tokyo.ac.jp/lib/",,2011/10/1 0:00:00,2013/10/2 0:00:00
"JP-1003312","東京大学大学院理学系研究科･理学部図書室","Libraries of the School of Science, University of Tokyo","トウキョウダイガクダイガクインリガクケイケンキュウカリガクブトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-4029","03-5841-8778","http://www.s.u-tokyo.ac.jp/lib/index.html",,2011/10/1 0:00:00,2012/4/17 0:00:00
"JP-1003313","東京大学農学生命科学図書館","University Library for Agricultural and Life Sciences, the University of Tokyo","トウキョウダイガクノウガクセイメイカガクトショカン","113-8657","東京都","文京区","弥生1丁目1-1","03-5841-5430","03-5841-5428","http://www.lib.a.u-tokyo.ac.jp/lib/",,2011/10/1 0:00:00,2012/4/6 0:00:00
"JP-1003314","東京大学経済学図書館","Library of Economics, the University of Tokyo","トウキョウダイガクケイザイガクトショカン","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-5562","03-5841-5527","http://www.lib.e.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2012/3/29 0:00:00
"JP-1003315","東京大学駒場図書館","Komaba Library, the University of Tokyo","トウキョウダイガクコマバトショカン","153-8902","東京都","目黒区","駒場3丁目8番1号","03-5454-6101","03-5454-6105","https://www.lib.u-tokyo.ac.jp/ja/library/komaba",,2011/10/1 0:00:00,2019/6/3 0:00:00
"JP-1003316","東京大学大学院教育学研究科･教育学部図書室","Graduate School of Education and Faculty of Education Library, University of Tokyo","トウキョウダイガクダイガクインキョウイクガクケンキュウカキョウイクガクブトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-3910","03-5841-3915","http://ikuto.p.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2012/3/27 0:00:00
"JP-1003317","東京大学薬学図書館","Pharmaceutical Sciences Library, the University of Tokyo","トウキョウダイガクヤクガクトショカン","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-4705","03-5841-4884","http://www.lib.f.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003318","東京大学医科学研究所図書室","Institute of Medical Science Library, The University of Tokyo","トウキョウダイガクイカガクケンキュウショトショシツ","108-8639","東京都","港区","白金台4丁目6-1","03-5449-5226","03-5449-5404","http://www.ims.u-tokyo.ac.jp/imswww/Soshiki/tosho/",,2011/10/1 0:00:00,2012/4/24 0:00:00
"JP-1003319","東京大学地震研究所図書室","Earthquake Research Institute Library, The University of Tokyo","トウキョウダイガクジシンケンキュウショトショシツ","113-0032","東京都","文京区","弥生1丁目1-1","03-5841-5669","03-5800-3859","http://www.eri.u-tokyo.ac.jp/tosho/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003320","東京大学東洋文化研究所図書室","Institute for Advanced Studies on Asia Library","トウキョウダイガクトウヨウブンカケンキュウショトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-5893","03-5841-1389","http://www.ioc.u-tokyo.ac.jp/~library/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003321","東京大学社会科学研究所図書室","Institute of Social Science Library, the University of Tokyo","トウキョウダイガクシャカイカガクケンキュウショトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-4944","03-5841-4958","http://library.iss.u-tokyo.ac.jp",,2011/10/1 0:00:00,2013/10/2 0:00:00
"JP-1003322","東京大学大学院情報学環・学際情報学府図書室","University of Tokyo, Interfaculty Initiative in Information Studies, Graduate school of Interdisciplinary Infromation Studies Library","トウキョウダイガクダイガクインジョウホウガッカン・ガクサイジョウホウガクフトショシツ","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-5905","03-5841-5916","http://www.lib.iii.u-tokyo.ac.jp",,2011/10/1 0:00:00,2013/10/3 0:00:00
"JP-1003323","東京大学大学院情報学環附属社会情報研究資料センター","Multi-media and Socio-information Studies Archive, the University of Tokyo","トウキョウダイガクダイガクインジョウホウガッカンフゾクシャカイジョウホウケンキュウシリョウセンター","113-0033","東京都","文京区","本郷7丁目3-1","03-5841-5906","03-5841-5916","http://www.center.iii.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2013/10/3 0:00:00
"JP-1003324","東京大学生産技術研究所図書室","Institute of Industrial Science Library, The University of Tokyo","トウキョウダイガクセイサンギジュツケンキュウショトショシツ","153-8505","東京都","目黒区","駒場4丁目6-1","03-5452-6020","03-5452-6074","http://www.iis.u-tokyo.ac.jp/~tosho/index.html",,2011/10/1 0:00:00,2013/10/3 0:00:00
"JP-1003325","東京大学史料編纂所図書室","Library, Historiograhical Institute, The University of Tokyo","トウキョウダイガクシリョウヘンサンジョトショシツ","113-0033","東京都","文京区","本郷7-3-1","03-5841-5962","03-5841-8425","http://www.hi.u-tokyo.ac.jp/tosho/tosho.html",,2011/10/1 0:00:00,2013/10/3 0:00:00
"JP-1003326","東京大学宇宙線研究所図書室","The Institute for Cosmic Ray Research Library, The University of Tokyo","トウキョウダイガクウチュウセンケンキュウショトショシツ","277-8582","千葉県","柏市","柏の葉5丁目1-5","04-7136-3170","04-7136-3171","http://www.icrr.u-tokyo.ac.jp/lib/lib_hp.html",,2011/10/1 0:00:00,2013/10/3 0:00:00
"JP-1003327","東京大学物性研究所図書室","The Institute for Solid State Physics Library, The University of Tokyo","トウキョウダイガクブッセイケンキュウショトショシツ","277-8581","千葉県","柏市","柏の葉5丁目1-5","04-7136-3210","04-7136-3218","http://www.issp.u-tokyo.ac.jp/labs/tosyo/",,2011/10/1 0:00:00,2015/6/9 0:00:00
"JP-1003328","東京大学大気海洋研究所図書室","Library, Atmosphere and Ocean Research Institute,The University of Tokyo","トウキョウダイガクタイキカイヨウケンキュウショトショシツ","277-8564","千葉県","柏市","柏の葉5-1-5","04-7136-6015","04-7136-6018","http://www.library.aori.u-tokyo.ac.jp/",,2011/10/1 0:00:00,2012/3/28 0:00:00
"JP-1003329","東京大学大学院数理科学研究科図書室","University of Tokyo Graduate School of Mathematical Sciences Library","トウキョウダイガクダイガクインスウリカガクケンキュウカトショシツ","153-8914","東京都","目黒区","駒場3丁目8-1","03-5465-7005","03-5465-7015","http://www.ms.u-tokyo.ac.jp/library/",,2011/10/1 0:00:00,2013/10/15 0:00:00
"JP-1003333","東京大学先端科学技術研究センター図書室","Research Center for Advanced Science and Technology Library, the University of Tokyo","トウキョウダイガクセンタンカガクギジュツケンキュウセンタートショシツ","153-8904","東京都","目黒区","駒場4丁目6-1","03-5452-5388","03-5452-5401","http://www.office.rcast.u-tokyo.ac.jp/tosho/index-j.html",,2011/10/1 0:00:00,2013/10/15 0:00:00
"JP-1003334","東京大学大学院総合文化研究科附属アメリカ太平洋地域研究センター図書室","Center for Pacific and American Studies Library, Graduate School of Arts & Sciences of the University of Tokyo","トウキョウダイガクダイガクインソウゴウブンカケンキュウカフゾクアメリカタイヘイヨウチイキケンキュウセンタートショシツ","153-8902","東京都","目黒区","駒場3丁目8-1","03-5454-6161","03-5454-4509","http://www.cpas.c.u-tokyo.ac.jp/lib/index.html",,2011/10/1 0:00:00,2013/10/15 0:00:00
